,Temperature,Pressure,Humidity
0,24.5,1010.0,44.0
1,24.5,1010.0,45.0
2,23.8,1020.0,45.0
3,23.8,1020.0,46.0
4,24.5,1010.0,45.0
5,25.2,1010.0,45.0
6,25.2,1010.0,45.0
7,25.2,1010.0,45.0
8,25.9,1010.0,44.0
9,25.2,1010.0,44.0
10,25.2,1000.0,44.0
11,25.9,1010.0,45.0
12,25.9,1020.0,46.0
13,25.9,1020.0,46.0
14,26.599999999999998,1030.0,46.0
15,25.9,1040.0,45.0
16,26.599999999999998,1050.0,46.0
17,25.9,1060.0,45.0
18,25.9,1070.0,44.0
19,26.599999999999998,1080.0,45.0
20,27.299999999999997,1090.0,46.0
21,27.299999999999997,1090.0,46.0
22,27.999999999999996,1100.0,47.0
23,27.999999999999996,1110.0,48.0
24,28.699999999999996,1100.0,49.0
25,27.999999999999996,1110.0,49.0
26,27.999999999999996,1110.0,50.0
27,28.699999999999996,1100.0,49.0
28,28.699999999999996,1090.0,50.0
29,29.399999999999995,1080.0,51.0
30,28.699999999999996,1070.0,51.0
31,29.399999999999995,1080.0,52.0
32,29.399999999999995,1080.0,53.0
33,28.699999999999996,1080.0,54.0
34,28.699999999999996,1080.0,55.0
35,29.399999999999995,1080.0,54.0
36,30.099999999999994,1080.0,54.0
37,30.099999999999994,1080.0,53.0
38,29.399999999999995,1080.0,54.0
39,29.399999999999995,1090.0,53.0
40,30.099999999999994,1100.0,52.0
41,30.799999999999994,1100.0,53.0
42,30.799999999999994,1110.0,52.0
43,30.799999999999994,1120.0,51.0
44,30.799999999999994,1110.0,50.0
45,31.499999999999993,1100.0,49.0
46,32.199999999999996,1090.0,49.0
47,32.9,1100.0,50.0
48,33.6,1100.0,51.0
49,34.300000000000004,1100.0,51.0
50,35.0,1110.0,51.0
51,35.0,1100.0,50.0
52,35.0,1100.0,51.0
53,35.0,1100.0,51.0
54,34.300000000000004,1100.0,51.0
55,33.6,1100.0,51.0
56,34.300000000000004,1100.0,52.0
57,34.300000000000004,1100.0,51.0
58,35.0,1100.0,52.0
59,35.0,1100.0,52.0
60,35.0,1100.0,53.0
61,34.300000000000004,1090.0,53.0
62,35.0,1090.0,53.0
63,35.0,1100.0,53.0
64,35.0,1090.0,52.0
65,35.0,1090.0,52.0
66,35.0,1080.0,51.0
67,35.0,1080.0,52.0
68,35.0,1090.0,53.0
69,34.300000000000004,1090.0,53.0
70,34.300000000000004,1100.0,54.0
71,34.300000000000004,1110.0,55.0
72,33.6,1100.0,55.0
